Model,MAE,RMSE,MAPE,R2
Gold Events Naive Baseline,33.699448882556354,42.520458027031665,1.723870513160676,0.3320707296498855
Gold + Economic Events LSTM,43.05753515981243,55.10336069599593,2.1840553744380906,-0.12173631853867639
