Model,MAE,RMSE,MAPE,R2
Naive Baseline,167.19343942110655,217.40127968340357,3.750793154697839,0.7860604441219168
Gold Return-Based LSTM,160.78927847603924,213.36447830766235,3.5963273175471775,0.7939317257668317
